Name,Company,Year
bxdjc HvHU6xd,5Djw4,12
whY58 UhP2LVN,ZZiWe,10
gMwQH djfvrz3,hgYGf,22
kRyJn uoeMw1z,Ckq8R,11
UvuNE M5JOvui,uc6aB,23
AMFl3 b5Ons76,PszvT,23
TPlvF FkcwPMt,qleaA,21
eJzqH Q8BgbMy,tH97K,16
IIjdS u1JoxDK,xRDyV,15
I3Nz1 kzmqnhH,Z7Vef,25
J842B JZSHa2L,PSpC5,20
4MZg2 y7IWGoB,5KkAO,15
PrFOy 9kL9r4n,WRO1X,16
znjt7 xu3RZ4u,yLmcA,13
4UDiq YgRW92c,xuZua,10
UKrgd vvqdd4C,VxW59,15
4ot2X aRBPhWa,xCnJz,22
Y3oDW rXH396k,chSRR,17
fHQr5 nk652sz,akntx,12
3fFGd JH3RxLt,QlBg4,16
DrTuc dXISLEa,QDY8g,10
KY8f7 KlWiUJd,TI6Ty,12
kuG3p oXoFDgK,YWvBs,22
XKPYt x1AI3ra,DnDmv,25
7iIyS rkYzp8K,vPBJR,20
mri3K ssovtMa,avSP2,12
L5gIU p7VQg61,FJO1x,20
AvkA3 pWaZaBN,AWhhb,21
Eb4jS C15HIcf,rBTEo,12
FIN6A 8FwTTjl,CtHdT,18
jw6Dr p4yeosb,EBRxg,14
LGieK UQ6nUEs,oMsU7,13
3P9zL wnfDrBq,nt2HW,19
tBVLf l1cvZEE,l5ICa,17
9SmK4 YcEtKJm,YIB4T,12
Ldrm9 unULV4q,UgXMe,23
a8r6P FUuL3IB,9bWSb,25
aAH8r YqIolCO,p3EPk,12
vXszq 2Si7BDJ,LD4sH,12
HVsI4 xkEK8VJ,sRKUp,16
xzcqh 8SvBMUN,f7Fwq,18
GEhEV 2abVcj2,ZpJ4i,16
aHtJJ aleMQtc,cXrqK,10
PMamU zrYBosb,TW6fT,15
Yx5bE KsgZcu2,Spbrd,19
cqFQh fKI8MTF,4hQMZ,18
RJgoW uWmyLmE,6RP5g,21
klLUd i7QgVNo,UePpw,20
RoffY mNL9htA,AfHHX,15
JvkF7 hOMVt8Z,cq274,24
dxosE Knih81b,LhJQr,10
h3gom Ucqk12q,mBCDh,11
SihkY EovtvcL,TUBtj,10
TMagp RTiTVEK,k9Fjv,16
6ngPb vqetMMi,4N3dF,11
JX9gY T8qXnDn,FUxbB,13
TypKu M2SkoFz,CYHRS,12
Jgpuu ltJuosr,hX6Af,18
p4ZFu FfCI9bR,2tqmT,10
5uQXT Pl2jrt8,6hedU,11
eLPc2 MnxraQW,9OyB3,22
43yiu E1dq18f,6OfS2,22
ie5i9 xkBjLV3,iSJwj,17
BG5fL YkGziSc,8jZDo,17
A9WEr AURpNS2,uLGcM,14
wnG7E eRjL4SU,yyc69,11
zIsBh B5le2sr,2QW7u,23
rfdfv BY7Hxub,q13wl,21
X5eqV y79dKkF,H7tWn,11
csWl6 W4AV3SN,RAEcj,25
qBz5w 73xcJPp,oyTSk,13
OE4ro CSNViyy,SkrJS,24
mYwpQ XDxY6gP,HpXGh,23
Y5hx6 pXH9oHp,x9vRt,21
o6asK 6KahLHT,EpX1z,10
vMYYZ bFiFlri,Kisl9,18
PGqt6 aqlnvpZ,OrEq1,21
kJL9M qkeosfR,EXFMB,14
U4Eg2 bJOuFY6,ev4RZ,13
mXEyo i25IMPW,EQgOO,16
POCJt R2bPKnt,QdL6i,10
d7tbl AZG74SX,BYDmu,22
FaRXD lGW1cvC,fUT9J,14
9qnuk d2hYDiL,btkih,18
GFwCv ZsW4bu9,UQWVc,19
yKEI1 IjcHQod,Gccu3,18
L4Ldw lxJSnoH,ZValF,12
9MJse EhlAMEz,LbPal,10
CcmrX xfoFqrP,BAejh,13
g24fC XKgMYOn,PydLx,23
eMLuP WCSQgJe,lcpIK,17
i3VUw xzKti8f,msuHF,15
qP58m 3E8m9A3,vwEKW,24
ILNfM 2BrAJdz,shJ59,15
VAhYx Tl3xvU6,qsRmv,12
rHKs6 FcgBiBU,GWoIu,19
6Za39 68TglxT,mZvzC,20
eRgSF psenRXS,FpoBm,11
d1kJm BCdopyn,ssg1x,23
W5Dum CrBcRhQ,913iq,21
